מהי ההגדרה של מרחב קשיר, והראה שקיום תת קבוצה לא ריקה פתוחה וסגורה ממשית מציב סתירה לקשירות.	"מרחב טופולוגי $X$ קשיר אם אין לו הפרדה
$$X=U\sqcup V,\quad U,V\neq\varnothing,\;U,V\text{ open},\;U\cap V=\varnothing.$$
אם קיימת תת־קבוצה $A\subset X$ כך ש-$A\neq\varnothing,A\neq X$ וגם $A$ פתוחה וסגורה, אז
$$X=A\sqcup (X\setminus A)$$
זו הפרדה זרה לא ריקה ⇒ $X$ לא קשיר."	
הראו שהתמונה של מרחב קשיר תחת פונקציה רציפה היא קשירה.	"יהי $f:X\to Y$ רציפה ו-$X$ קשיר. נרצה להראות ש-$Z=f(X)$ קשיר. נניח בשלילה ש-$Z=A\sqcup B$ הפרדה פתוחה. אז
$$X=f^{-1}(A)\sqcup f^{-1}(B)$$
הפרדה פתוחה ב-$X$, בסתירה לקשירות. לכן $Z$ קשיר."	
נסח והוכח את “למת הכוכב” (star lemma) לאיחוד משפחת תתי־מרחבים קשירים החולקים נקודה.	"יהי $\{A_\alpha\}_{\alpha\in I}$ משפחה של תתי־מרחבים קשירים ב-$X$ ונניח קיים $\beta$ כך ש-$A_\alpha\cap A_\beta\neq\varnothing$ לכל $\alpha$. נגדיר
$$Y=\bigcup_{\alpha}A_\alpha$$
ונניח ש-$Y=C\sqcup D$ הפרדה פתוחה. בחר $p\in A_\beta\subset Y$ ונניח $p\in C$. לכל $\alpha$,
$$A_\alpha\cap A_\beta\neq\varnothing\implies A_\alpha\subseteq C$$
כי $A_\alpha$ קשיר ו-$C,D$ מפרידים אותו. לכן
$$Y=\bigcup_\alpha A_\alpha\subseteq C$$
ולכן $D=\varnothing$, בסתירה. ⇒ $Y$ קשיר."	
הראו שאם $A\subseteq B\subseteq\overline A$ ו-$A$ קשיר אז $B$ גם קשיר.	"נניח ש-$B=C\sqcup D$ הפרדה פתוחה. מהלמת הכוכב עבור $A$ (קשירה) נדרש ש-$A\subseteq C$ או $A\subseteq D$. בלי הגבלת כללי, $A\subseteq C$, ואז
$$\overline A\subseteq\overline C=C$$
כי $C$ סגור ב-$B$. לכן $B\subseteq C\implies D=\varnothing$, בסתירה. ⇒ $B$ קשיר."	
הראו שמכפלה סופית של מרחבים קשירים היא קשירה.	"יהיו $X,Y$ קשירים. נניח ש-$X\times Y=U\sqcup V$ הפרדה פתוחה. לכל $x\in X$,
$$\{x\}\times Y\cong Y$$
קשיר ונמצא שהיא מוכלת ב-$U$ או ב-$V$. בהכרעה רציפה על $x$ ומקצועיות הפרדה ניתן להראות שכל $\{x\}\times Y\subseteq U$ או כולן ב-$V$. בלי הגבלת כללי, $\{x\}\times Y\subset U$ לכל $x$. אז
$$X\times Y=\bigcup_{x\in X}\{x\}\times Y\subset U$$
ולכן $V=\varnothing$. ⇒ $X\times Y$ קשיר."	
"הוכח שקיימת שקילות: $X$ קשיר אם""ם כל פונקציה רציפה $f:X\to\{0,1\}$ היא קבועה."	"($\Rightarrow$) אם $f$ לא קבוע, $U=f^{-1}(0),V=f^{-1}(1)$ פתוחות וזרות ומשלימות ⇒ הפרדה.
($\Leftarrow$) אם קיימת הפרדה $X=U\sqcup V$, נגדיר $f=0$ על $U$, $1$ על $V$ ⇒ רציפה ולא קבועה ⇒ סתירה."	
מהו רכיב קשירות של נקודה $x\in X$ וכיצד מראים שרכיבי הקשירות הם מחלקת שקילות?	"הרכיב של $x$ הוא האיחוד של כל תתי־מרחבים קשירים המכילים את $x$. שקילות:
1. רפלקסיה: $x$ קשור לעצמו.
2. סימטריה: אם $y$ באותו רכיב כמו $x$, אז רכיב קשירות שלו שווה.
3. טרנזיטיביות: אם $y$ קשור ל-$x$ ו-$z$ קשור ל-$y$, אז יש מסלול של איחודים שבסופו $x,z$ באותו רכיב."	
הגדיר “קשירות מקומית” והראה שקשירות מקומית מקיימת שרכיבי הקשירות של כל פתוחה הם פתוחים.	"$X$ קשיר מקומית אם לכל $x$ ולכל סביבה פתוחה $W\ni x$ קיים $U$ פתוחה וקשירה עם
$$x\in U\subseteq W.$$
יהי $U\subset X$ פתוחה. לכל רכיב קשירות $C\subset U$ ולכל $x\in C$ יש $V$ פתוחה וקשירה במרחב עם $x\in V\subseteq U$. אז $V\subseteq C$ (קיומו של רכיב מקסימלי) ⇒ $C$ פתוח ב-$U$, ומשם גם ב-$X$."	
מה ההגדרה של תת־קבוצה $A\subseteq\mathbb{R}$ להיות קשירה, והראו שהיא שקולה לכך ש־$A$ הוא אינטרוול.	"מרחב $A\subset\mathbb{R}$ קשיר אם אין הפרדה
$$A=U\sqcup V,\quad U,V\neq\varnothing,\;U,V\text{ פתוחות ב-}A,\;U\cap V=\varnothing.$$
(\!\!\(\Rightarrow\)) נניח $A$ קשיר. אם $x,y\in A$ ו־$x<z<y$ אבל $z\notin A$, אז
$$A=\bigl(A\cap(-\infty,z)\bigr)\sqcup\bigl(A\cap(z,\infty)\bigr)$$
מהי הפרדה זרה של $A$, סתירה. לכן $z\in A$ ⇒ $A$ אינטרוול.
(\!\!\(\Leftarrow\)) אינטרוול לא ניתן להפריד לשתי פתוחות זרות ⇒ קשיר."	
נסח והוכח את משפט ערך הביניים (Intermediate Value Theorem) כנובע מקשירות של $[0,1]$.	"יהי $f:[0,1]\to\mathbb{R}$ רציפה, ונניח $f(0)<c<f(1)$. נגדיר
$$A=\{\,t\in[0,1]\mid f(t)\le c\},\quad B=\{\,t\in[0,1]\mid f(t)\ge c\}.$$
אז $A,B$ סגורות ונפרדות, ו־$A\cup B=[0,1]$. מאחר ש־$[0,1]$ קשיר, אי־אפשר הפרדה כזו ⇒ $A\cap B\neq\varnothing$ ⇒ קיים $t$ עם $f(t)=c$."	
