"נסחו והוכיחו שקילות בין נורמליות ובין הקיום לכל סגורה $A$ ופתוחה $U\supset A$ של פתוחה $V$ עם
$$A\subsetneq V\subsetneq \overline V\subsetneq U$$"	"- $(\!\!\Rightarrow)$ נניח $X$ נורמלי. ל-$A$ ו־$X\setminus U$ (סגורה, זרה ל-$A$) יש פתוחות זרות $V,W$, אז $A\subset V$ ו-$\overline V\subseteq X\setminus W\subset U$.
- $(\!\!\Leftarrow)$ נניח ש־לכל $A\subseteq U$ פתוח קיים $V$ עם $A\subsetneq V\subsetneq\overline V\subsetneq U$.
  יהי $C,D$ סגורות זרות. קח $U=X\setminus D$, כך שקיים $V$ עם $C\subsetneq V\subsetneq\overline V\subsetneq U$. אז $V$ ו-$X\setminus\overline V$ מפרידים $C,D$."	
הוכיחו שלכל $i\in\{1,2,3\}$ תת־מרחב של $T_i$ הוא $T_i$.	"קחו $Y\subseteq X$ עם הטופולוגיה המושרית.
- $T_1$: סגירות יחידונים נשמרות בחיתוך.
- $T_2$: הפרדת נקודות ב-$X$ חותכת ל-$Y$.
- $T_3$: רגולריות נמשכת: אם $x\notin A\subset Y$ סגור ב-$Y$ אז $A=C\cap Y$ ו-$C$ סגור ב-$X$, הפרידו ב-$X$ וקחו חיתוך."	
הצג דוגמה למרחב שהוא $T_{1}$ אך לא $T_{2}$.	"ניקח $X=\mathbb{R}$ עם טופולוגיית המשלים הסופי
$$\tau=\{U\subseteq\mathbb{R}\mid \mathbb{R}\setminus U\text{ finite}\}\cup\{\varnothing\}.$$
אז כל יחידון $\{x\}$ סגור (כי $\mathbb{R}\setminus\{x\}$ סופי).
אבל אי-אפשר להפריד שתי נקודות $x\neq y$ בסביבות זרות: כל פתוחה לא-ריקה היא כמעט כל $\mathbb{R}$, ולכן $T_{2}$ נכשל."	
הראו שכל מרחב מטרי הוא נורמלי ($T_{4}$).	"יהיו $A,B\subseteq X$ סגורות וזרות במרחב מטרי $(X,d)$. לכל $a\in A$ נגדיר
$$r_a=\tfrac12\,d\bigl(a,B\bigr)>0,\quad U_a=B_{r_a}(a).$$
באותו אופן לכל $b\in B$ נגדיר
$$s_b=\tfrac12\,d\bigl(b,A\bigr)>0,\quad V_b=B_{s_b}(b).$$
אז $\{U_a\}_{a\in A}$ כיסוי של $A$, מקומפקטיות נקבל תת-כיסוי סופי $\{U_{a_i}\}$. נגדיר
$$U=\bigcup_i U_{a_i},\quad V=\bigcup_{b\in B}V_b$$
אז $A\subset U$, $B\subset V$, ו-$U\cap V=\varnothing$ כי לכל $x\in U_a$ ו-$y\in V_b$ המרחק ביניהם גדול מ־$\tfrac12\,d(a,B)+\tfrac12\,d(b,A)=d(a,b)>0$."	
"הראו שבמרחב מנייה ראשונה $(X,\mathcal T)$ מתקיים
$$x\in\overline A\iff\exists\text{ squence }a_n\in A:a_n\to x$$"	"($\!\!\Rightarrow$) נניח $x\in\overline A$. קיים בסיס בן־מנייה לסביבות $x$: $\{U_n\}_{n\in\mathbb{N}}$, עם $U_{n+1}\subset U_n$. לכל $n$ בחר $a_n\in A\cap U_n$ (קיים כי $x\in\overline A$). אז $a_n\to x$ כי לכל סביבה פתוחה $U_k$ של $x$, לכל $n\ge k$, $a_n\in U_n\subset U_k$.
($\!\!\Leftarrow$) אם קיימת סדרת $a_n\to x$, אז לכל סביבה פתוחה $U\ni x$ קיימת $N$ כך שלכל $n\ge N$ יש $a_n\in U$, כלומר $U\cap A\neq\varnothing$, ומשם $x\in\overline A$."	
הראו שמכפלה סופית של מרחבים $T_{i}$ היא $T_{i}$ (לכל $i=0,1,2,3,4$).	נוכיח עבור $T_{2}$ (האוסדורף); השאר דומים. יהיו $X,Y$ $T_{2}$. ניקח $(x,y)\neq(x',y')\in X\times Y$. אם $x\neq x'$ בחרו $U,U'$ ב-$X$ זרות; קח $V=Y$, $V'=Y$. אז $U\times V$ ו-$U'\times V'$ מפרידות. במקרה $y\neq y'$ מפרידים ב-$Y$ ואוחדים עם $X$ כקבוצה שלמה.	
הראו שמרחב מטרי ספרבילי $(X,d)$ מקיים אקסיומת המנייה השנייה (כלומר שיש לו בסיס בן־מנייה).	"יהי $D\subset X$ צפוף ובן מנייה(קיים מספרביליות). נסמן $D=\{x_n\}_{n\in\mathbb N}$ ונסתכל על הקבוצה $\mathbb Q^+$ של רציונליים חיוביים, נגדיר
$$\mathcal B=\bigl\{\,B_{r}(x_n)\;\big|\;n\in\mathbb N,\;r\in\mathbb Q^+\,\bigr\} $$
אז $\mathcal B$ בן-מנייה. לכל כדור פתוח $U\subset X$ ולכל $x\in U$ קיים $\varepsilon>0$ כך ש-$B_\varepsilon(x)\subset U$. מכיוון ש-$D$ צפוף, יש $x_n\in D\cap B_{\varepsilon/2}(x)$, ניקח $r\in\mathbb Q^+$ עם $\varepsilon/2<r<\varepsilon$, אז
$$x\in B_{r}(x_n)\subset B_\varepsilon(x)\subset U.$$
לכן $\mathcal B$ בסיס, ו-$X$ שני-מנייה."	
הראו שהתמונה של מרחב לינדלוף $X$ תחת פונקציה רציפה $f:X\to Y$ היא לינדלוף.	"יהי $\{V_\alpha\}_{\alpha\in A}$ כיסוי פתוח של $f(X)\subset Y$. כעת $\{f^{-1}(V_\alpha)\}_{\alpha\in A}$ הוא כיסוי פתוח של $X$, ולכן קיים תת-כיסוי בן-מנייה $\{f^{-1}(V_{\alpha_n})\}_{n\in\mathbb N}$. אך אז
$$f(X)=\bigcup_{n}V_{\alpha_n}$$
כי $f$ על $X$. לכן $f(X)$ לינדלוף."	
הראה שהמרחב $\mathbb{Z}$ עם הטופולוגיה הנוצרת על ידי אוסף הסדרות החשבוניות $\left\{  a+bz\mid z \in \mathbb{Z}  \right\}$ לכל $a,b \in \mathbb{Z}$ הוא מטריזבילי?	"נשים לב כי:
$${\mathcal{B}}:=\{\,a+b\mathbb{Z}\mid b\in\mathbb{N}_{\geq1},\;a\in\{0,1,\ldots,b-1\}\,\}$$
הוא בסיס, כאשר זהו קבוצה בת מנייה, ולכן מנייה שנייה.
כמו כן זהו $T_{1}$ כי לכל $m\neq n \in \mathbb{Z}$ ניתן לבחור $b:=\lvert m-n \rvert+1$ כך ש-$m \in m+b\mathbb{Z}$ אבל $n \not \in m + b\mathbb{Z}$ ולכן יחידונים סגורים ו-$T_{1}$."	
"תהי $Y$ מרחב האוסדרוף ו-$f:X\to Y$ פונקציה רציפה. הראו שהגרף:
$$\Gamma_{f}=\{(x,f(x))\in X\times Y:x\in X\}$$
היא קבוצה סגורה ב-$X\times Y$."	"נסמן ב-$\Delta_{Y}=\left\{  (y,y)\in Y \times Y  \right\}$ את האלכסון. במרחב האוסדרוף אנו יודעים כי $\Delta_{Y}$ היא קבוצה סגורה. נגדיר:
$$h:X\times Y\to Y\times Y\qquad h(x,y)=(f(x),y)$$
כאשר ההעתקה $h$ היא רציפה כיוון שרציפה רכיב רכיב. כעת:
$$\Gamma_{f}=h ^{-1}\left( \Delta_{Y} \right)$$
קבוצה סגורה בתור מקור של קבוצה סגורה תחת העתקה רציפה. ניתן היה גם להוכיח ישירות על ידי הפרדה של סביבות."	
